EBITDA_TO_Interest_Expense,Retained_Earnings_TO_Debt,EBIT_TO_Interest Expense,Debt_TO_EBITDA,Debt_TO_Capital,Asset_TO_Size,log10_Asset Size,EBITDA_Margin,Default_Flag
5.50877193,,3.368421053,,,4884000,6.688775655,0.363847045,0
17.67202433,1.81965625,13.2680278,0.786607999,0.286043747,177724,5.249746079,0.605624367,0
8.390407427,1.7768,3.19185147,1.843997787,0.280573117,173804,5.240059767,0.408174018,0
9.86106217,1.202038462,6.766675057,1.327275512,0.447454244,207649,5.317329844,0.390429115,0
21.62335217,3.63508,17.21971124,0.362886837,0.172147854,238359,5.377231555,0.401548092,0
14.56843237,4.16124,10.12637806,0.46142488,0.163235457,232526,5.366471521,0.398197894,0
49.40211132,8.357133333,33.61324376,0.291392272,0.087179904,258073,5.41174257,0.393395642,0
43.97312588,2.98908,29.46534653,0.804142944,0.255469604,338192,5.52916333,0.345341242,0
13.3925262,0.940050853,8.839918247,1.021151937,0.876678786,2610793,6.41677244,1.150622537,0
15.66199013,1.514629802,10.35636648,0.80996779,0.622046816,3000815,6.477239222,0.715838356,0
23.69660829,1.949495835,14.99789404,0.800753821,0.521078892,3414044,6.533269114,0.645937759,0
8.542256086,1.505457886,2.743447794,1.952987044,0.684725797,3814006,6.581381372,0.535460935,0
17.29273479,1.912947572,10.72277404,0.953482073,0.498732336,4749015,6.676603541,0.666583175,0
20.20958058,2.792533742,10.20953738,0.348385883,0.172646996,2140317,6.330478101,0.735370301,0
12.84987893,0.506118388,-9.924494169,0.859848952,0.557866337,2128471,6.328067737,0.67012633,0
17.23534364,,9.432705501,0,0,1889603,6.27637057,0.733755768,0
43.32447331,-1.77644,-112.3545269,0.740745905,0.723906986,2106003,6.323458986,0.716249585,0
22.71728852,-5.523971429,-14.20017789,0.360628441,0.511770727,1454242,6.162636683,0.679302757,0
7.5756764,0.554023904,0.829091883,2.218882603,1.803212736,117369000,8.069553404,0.581151617,1
5.669169892,0.88552726,,2.840868564,0.816252441,890710,5.949736328,0.299751681,0
9.331632653,1.078341538,,1.759333943,0.72596984,1146144,6.059239185,0.387161339,0
12.19809931,4.98221,,0.38954614,0.090065424,1868524,6.27149868,0.379562314,0
22.01207903,4.795769231,,0.500775876,0.09605177,2379069,6.376407038,0.360593203,0
10.48822514,0.901135063,,2.477730047,0.594473125,3622716,6.559034289,0.314739258,0
15.49542846,1.971684797,,0.748142361,0.293241567,4760158,6.677621368,0.425241569,0
0.113718626,1.416168018,,149.237896,0.428401377,4770250,6.67854114,0.003118681,0
1.738179036,-0.065147102,0.834850803,5.493199225,1.77063706,410613,5.613432695,0.742770267,0
1.78999804,-0.115310216,0.881361469,5.62251136,2.312064295,496032,5.695509695,0.743571651,0
4.54079555,-0.079299424,1.884342256,2.109921477,0.972845819,457523,5.660412931,0.763242684,0
